Category,Capability,AOD,AAM,DCL,Convergence,NLQ,Farm,Platform,Console,Status,Scope,Notes,v8.2 Delta
A2A Protocol,Agent discovery,,,,,,I,,,Aspirational,SE/ME,,v8→v8.1: AOA cancelled.
A2A Protocol,Context sharing,,,,,,I,,,Aspirational,SE/ME,,v8→v8.1: AOA cancelled.
A2A Protocol,Task delegation,,,,,,C,,,Aspirational,SE/ME,,v8→v8.1: AOA cancelled.
AAM Controls,Control surface gating by mode,,A/R,,,,,,,On Docket,SE/ME,"Gates dormant/superseded controls based on get_operating_mode(). SYNTHETIC skips dispatch, runners, collectors, self-healing. Guard clause per control entry point. Logs skipped controls.",
AAM Controls,Decoupled infer endpoint (no dispatch in SYNTHETIC),,A/R,,,,,,,On Docket,SE/ME,POST /api/aam/infer returns after pipe inference + triple write without dispatching JobManifest in SYNTHETIC mode. Response includes ledger entry for Platform verification.,
AAM Controls,Layer 1 data drift (triple-store signals),,A/R,,,,,,,On Docket,SE/ME,"Four drift signals from triple-store queries: schema drift (concept+property delta), freshness drift, coverage drift (missing domains), volume drift (>20% change). Pluggable DriftSignal interface. Read-only PG queries.",
AAM Controls,Operating mode detection (get_operating_mode),,A/R,,,,,,,On Docket,SE/ME,"Three-value enum: SYNTHETIC, PRODUCTION_SE, PRODUCTION_ME. Data-driven detection from MCP connection registry + entity count. Single gating function for all control surfaces.",
AAM Controls,Triple write ledger (AAM-local audit trail),,A/R,,,,,,,On Docket,SE/ME,"SQLite table tracking every triple write AAM makes. Columns: run_id, entity_id, trigger, write_path, concept_prefixes, triple_count, status, error_detail, pipe_id, duration_ms. Three GET APIs.",
AAM Handoff,ConnectionCandidate export,A/R,,,,,,,,Live,SE/ME,,
Action,Fabric Action Routing,,C,,,,I,,,Cancelled,SE/ME,Routes 'Write' intent to Fabric Plane,v8→v8.1: AOA cancelled.
Action,Transaction Execution,,R,,,,I,,,Cancelled,SE/ME,Executes via AAM Adapters,v8→v8.1: AOA cancelled.
Adapters,Adapter Factory Resolution,,A/R,,,,I,,,Stub,SE/ME,Instantiates Strategy (Gateway vs Bus),
Adapters,"API Gateway Adapter (Kong, Apigee)",,A/R,,,,I,,,Stub,SE/ME,Managed API Proxy,
Adapters,"API Gateway Connection (Kong, Apigee)",,A/R,,,,I,,,Stub,SE/ME,Proxy/REST modality,
Adapters,"Data Warehouse Connection (Snowflake, BigQuery)",,A/R,,,,I,,,Stub,SE/ME,JDBC/Bulk Read modality,
Adapters,"Event Bus Adapter (Kafka, EventBridge)",,A/R,,,,I,,,Stub,SE/ME,Streaming Consumer,
Adapters,"Event Bus Connection (Kafka, EventBridge)",,A/R,,,,I,,,Stub,SE/ME,Streaming Consumer modality,
Adapters,"iPaaS Adapter (Workato, MuleSoft)",,A/R,,,,I,,,Stub,SE/ME,Webhooks/Signals,
Adapters,"IPAAS Connection (Workato, MuleSoft)",,A/R,,,,I,,,Stub,SE/ME,Webhooks/Signals modality,
Adapters,Pipe Discovery from Plane,,A/R,,,,I,,,Stub,SE/ME,Inventory reusable data pipes,
Adapters,Plane Health Check,,A/R,,,,I,,,Stub,SE/ME,Monitor adapter connectivity,
Adapters,"Warehouse Adapter (Snowflake, BigQuery)",,A/R,,,,I,,,Stub,SE/ME,JDBC Read,
Agent Lifecycle,Agent health monitoring,,,,,,C,,,Cancelled,SE/ME,,v8→v8.1: AOA cancelled.
Agent Lifecycle,Agent registration & configuration,,,,,,I,,,Cancelled,SE/ME,,v8→v8.1: AOA cancelled.
Agent Lifecycle,Agent version management,,,,,,I,,,Cancelled,SE/ME,,v8→v8.1: AOA cancelled.
Agent Registry,Agent discovery & inventory,C,C,I,,,I,,,Cancelled,SE/ME,Agents as first-class assets,v8→v8.1: AOA cancelled.
Agent Registry,Agent metadata & ownership,I,I,C,,,I,,,Cancelled,SE/ME,"Domain, owner, trust",v8→v8.1: AOA cancelled.
Approval Workflows,Approval request generation,,,,,,I,,,Cancelled,SE/ME,,v8→v8.1: AOA cancelled.
Approval Workflows,Human-in-the-loop routing,,,,,,I,,,Cancelled,SE/ME,,v8→v8.1: AOA cancelled.
Approval Workflows,Override tracking,,,,,,I,,,Cancelled,SE/ME,,v8→v8.1: AOA cancelled.
Asset Scan,Asset Discovery (Legacy Endpoints),A/R,,,,,,,,Live,SE/ME,Legacy Fallback,
Asset Scan,Policy Manifest Export (Governance Rules),A/R,C,,,,,,,Live,SE/ME,Export rules for AAM to enforce,
Candidate Intake,Candidate Defer,,A/R,,,,I,,,Live,SE/ME,Defer with reason,
Candidate Intake,Candidate Ingestion,R,A,,,,I,,,Live,SE/ME,Receives from AOD,
Candidate Intake,Candidate Match to Pipe,,A/R,,,,I,,,Live,SE/ME,Link candidate to existing pipe,
Candidate Intake,Candidate Triage,,A/R,,,,I,,,Live,SE/ME,Status management,
Capabilities,Capability contract registration,I,I,C,,,I,,,Cancelled,SE/ME,Declared agent abilities,v8→v8.1: AOA cancelled.
Capabilities,Capability drift detection,C,C,C,,,I,,,Cancelled,SE/ME,Observed vs declared behavior,v8→v8.1: AOA cancelled.
Classification & Governance,Governance status determination,A/R,,,,,C,,,Live,SE/ME,,
Classification & Governance,IdP governance policy enforcement,A/R,,,,,C,,,Live,SE/ME,,
Classification & Governance,Shadow IT classification,A/R,,,,,C,,,Live,SE/ME,,
Classification & Governance,Vendor governance propagation,A/R,,,,,,,,Live,SE/ME,,
Classification & Governance,Zombie asset detection,A/R,,,,,C,,,Live,SE/ME,,
Collector Operations,Collector Registration,,A/R,,,,I,,,Live,SE/ME,Register collection strategies,
Collector Operations,Collector Run Execution,,A/R,,,,I,,,Live,SE/ME,Execute with tracking,
Collector Operations,Generate Observations,,A/R,,,,C,,,Live,SE/ME,,
Collector Operations,Observation Storage,,A/R,,,,I,,,Live,SE/ME,Raw collector output,
Collector Operations,Register Collectors,,A/R,,,,I,,,Live,SE/ME,,
Collector Operations,Run Collectors,,A/R,,,,C,,,Live,SE/ME,,
Collector Operations,Track Collector Runs,,A/R,,,,I,,,Live,SE/ME,,
Connector Provisioning,Config Storage,,,A/R,,,I,,,Aspirational,SE/ME,Aspirational — no code implementation,
Connector Provisioning,Dynamic Reconnection,,,A/R,,,C,,,Aspirational,SE/ME,Aspirational — no code implementation,
Contract,Downstream Consumer Protocol (NLQ Interface),,,A/R,R,C,C,,,Live,SE/ME,DCL provides semantic API for NLQ consumption,v8.1→v8.2: Convergence reads DCL-owned tables (SELECT only).
Convergence,Bridge (Target pipes join Acquirer pipes),,,C,A/R,,C,demo,I,On Docket,ME,"Same engine as base AOS. Entity is a tag, not a separate brain. No split brain",v8.1→v8.2: Convergence carveout complete. ME ownership transferred from DCL to Convergence repo.
Convergence,COFA Merge tab (DCL UI),,,C,A/R,,,demo,I,Live,ME,"5 sections: merge overview, side-by-side comparison, match table, orphans, triple browser. Read-only",v8.1→v8.2: Convergence carveout complete. ME ownership transferred from DCL to Convergence repo.
Convergence,Combining financial statements (4-column proforma),,,C,A/R,,C,demo,A/R,On Docket,ME,Entity A | Entity B | Adjustments | Combined. Every adjustment links to conflict register,v8.1→v8.2: Convergence carveout complete. ME ownership transferred from DCL to Convergence repo.
Convergence,Cross-sell analysis,,,C,A/R,I,,demo,C,On Docket,ME,Identifies revenue opportunities from combining customer bases,v8.1→v8.2: Convergence carveout complete. ME ownership transferred from DCL to Convergence repo.
Convergence,Diligence Integration Package (output bundle),,,,A/R,,,demo,A/R,On Docket,ME,"Unified CoA, conflict register, combined FS, EBITDA bridge, cross-sell, audit trail. §1.3.3",v8.1→v8.2: Convergence carveout complete. ME ownership transferred from DCL to Convergence repo.
Convergence,EBITDA bridge with confidence grades,,,C,A/R,I,C,demo,A/R,On Docket,ME,Adjustment categories with what-if sliders. High/medium/low confidence. Linked to evidence,v8.1→v8.2: Convergence carveout complete. ME ownership transferred from DCL to Convergence repo.
Convergence,Entity resolution,,,C,A/R,,,demo,C,On Docket,ME,Match entities across acquirer and target. O(n²) per advisory ruling,v8.1→v8.2: Convergence carveout complete. ME ownership transferred from DCL to Convergence repo.
Convergence,Hard accounting gates (deterministic validation),,,C,A/R,,C,,,Live,ME,"DR=CR, revenue identity, asset identity, BS identity. Maestra cannot override. §5.3",v8.1→v8.2: Convergence carveout complete. ME ownership transferred from DCL to Convergence repo.
Convergence,Multi-entity data pipeline (entity_id tagging),,,—,A/R,,A/R,demo,I,Live,ME,"Both entities flow through separate Farm configs → triple conversion → Convergence's convergence_triples table tagged by entity_id. ME triples never write to DCL's semantic_triples. Farm ME push routes to Convergence backend (port 8010), not DCL.","v8.2→v8.3: Clarified ME write path. DCL has no role in ME data pipeline — removed C. Farm ME routes to Convergence, not DCL."
Convergence,Overlap/concentration analysis,,,C,A/R,I,,demo,C,On Docket,ME,"Customer, vendor, geographic concentration across both entities",v8.1→v8.2: Convergence carveout complete. ME ownership transferred from DCL to Convergence repo.
Convergence,Quality of Earnings (QofE),,,C,A/R,I,C,demo,A/R,On Docket,ME,"Recurring vs non-recurring, trending, normalization. Feeds from EBITDA bridge",v8.1→v8.2: Convergence carveout complete. ME ownership transferred from DCL to Convergence repo.
Coordination,Arbitration & conflict resolution,I,I,C,,,I,,,Cancelled,SE/ME,Deterministic outcomes,v8→v8.1: AOA cancelled.
Coordination,Multi-agent workflow orchestration,I,C,C,,,I,,,Cancelled,SE/ME,Fan-in / fan-out,v8→v8.1: AOA cancelled.
Data Mode,Demo Mode (Farm-sourced synthetic data),,C,R,,I,A/R,,,Live,SE/ME,"Farm generates synthetic data via entity configs. SE (e.g., BlueLogic): output triples push to DCL HTTP ingest → semantic_triples. ME (Meridian $5B, Cascadia $1B): output triples push to Convergence backend → convergence_triples. Not pipe ingest.","v8.2→v8.3: Added SE/ME write path distinction. ME Farm output routes to Convergence, not DCL."
Data Mode,Mode Switching & Fallback,,,A/R,,I,,,,On Docket,SE/ME,"DCL decides data source per query; live data preferred, demo fallback if unavailable",
Data Mode,Production Mode (Enterprise-sourced live data),,R,A/R,,I,,,,On Docket,SE/ME,"Enterprise data enters via MCP discovery → transport shims → flow controller → production ingest pipeline → PG. Per Connectivity Architecture Blueprint. AAM provisions connections, not pipes.",
Data Query,Fact Base Execution,,,A/R,,,I,,,Deprecated,SE/ME,fact_base.json removed. Replaced by semantic triple store (see Triple Store category),
Data Query,Quality Score Metadata,,,A/R,,,I,,,Live,SE/ME,"freshness, quality_score, record_count",
Data Query,Query Endpoint (POST /api/dcl/query),,,A/R,R,C,I,,,Live,SE/ME,Metric + dimensions + filters,v8.1→v8.2: Convergence reads DCL-owned tables (SELECT only).
Data Query,Ranking/Superlative Support,,,A/R,,C,I,,,Live,SE/ME,"Top N, Bottom N, Best, Worst",
Discovery & Cataloging,Asset discovery (find data sources),A/R,,,,,,,,Live,SE/ME,,
Discovery & Cataloging,Domain canonicalization (alias collapsing),A/R,,,,,C,,,Live,SE/ME,,
Discovery & Cataloging,Source catalog management,A/R,,,,,,,,Live,SE/ME,,
Drift Detection,Acknowledge Drift,,A/R,,,I,I,,,Live,SE/ME,,
Drift Detection,Detect Contract Drift,,A/R,,,I,C,,,Live,SE/ME,,
Drift Detection,Detect Freshness Drift,,A/R,,,I,C,,,Live,SE/ME,,
Drift Detection,Detect Schema Drift,,A/R,,,I,C,,,Live,SE/ME,,
Drift Detection,Drift Acknowledgement,,A/R,,,I,I,,,Live,SE/ME,Operator action,
Drift Detection,Fabric Drift Detection,,A/R,,,I,I,,,Live,SE/ME,Connectivity drift,
Drift Detection,Schema Drift Detection,,A/R,,,I,C,,,Live,SE/ME,Field changes (not connection),
Drift Detection,Schema Hash Computation,,A/R,,,I,C,,,Live,SE/ME,SYNTHETIC mode: replaced by triple-store concept+property delta between run_ids (AAM controls redesign Layer 1). PRODUCTION_SE: vendor-specific detection per Connectivity Blueprint §4. Hash computation code retained.,
Drift Detection,Suppress Drift,,A/R,,,I,I,,,Live,SE/ME,,
Economics,Budget enforcement,I,C,I,,,I,,,Cancelled,SE/ME,Prevent runaway spend,v8→v8.1: AOA cancelled.
Economics,Cost attribution per agent,I,C,C,,,I,,,Cancelled,SE/ME,Tokens & infra,v8→v8.1: AOA cancelled.
Engagement Type,"Convergence-Lite (upload-based, no AOD/AAM)",,,C,A/R,,R,,A/R,On Docket,ME,Greenfield M&A. GL upload. Farm processes. Maestra runs COFA chain. User story 1,v8.2→v8.3: Platform sunset framing removed. Console retains A/R for orchestration UI.
Engagement Type,Engagement type switching (UI conditional rendering),,,,C,,,,A/R,On Docket,SE/ME,"SE hides Convergence UI elements. ME shows Merge tab, combining, cross-sell. Config-driven",v8.2→v8.3: Platform sunset framing removed. Console retains A/R for orchestration UI.
Engagement Type,Multi-entity engagement (Convergence),,,C,A/R,R,R,,A/R,On Docket,ME,"Two entities through same pipeline, tagged by entity_id. COFA unification, combining, full Convergence chain",v8.2→v8.3: Platform sunset framing removed. Console retains A/R for orchestration UI.
Engagement Type,Single-entity engagement (ContextOS),R,R,R,,R,R,,A/R,On Docket,SE,Full pipeline: AOD→AAM→Farm→DCL→NLQ. One entity_id. No Convergence features. Platform orchestrates,v8.2→v8.3: Platform sunset framing removed. Console retains A/R for orchestration UI.
Execution,Fabric action routing,I,C,I,,,I,,,Cancelled,SE/ME,Writes routed via AAM,v8→v8.1: AOA cancelled.
Execution,Transaction execution,I,R,I,,,I,,,Cancelled,SE/ME,Execution via adapters,v8→v8.1: AOA cancelled.
Export,DCL Pipe Export,,A/R,R,,,I,,,Deprecated,SE/ME,Replaced by mapping.* triples written directly to PG. Kept running until EAV store verified as sole consumer. Removal is cleanup debt.,
Export,Pipe Snapshot Export,,A/R,,,,I,,,Deprecated,SE/ME,Point-in-time pipe export. Part of old pipe export path. Pipe state is now readable from mapping.* triples in the triple store.,
Fabric Detection,Connection Routing Logic,A/R,I,,,,,,,Live,SE/ME,Context for AAM Handoff,
Fabric Detection,Evidence Lead Export to AAM,A/R,I,,,,I,,,Live,SE/ME,Passes connection hints in ConnectionCandidate handoff for AAM to validate against plane crawl,
Fabric Detection,Evidence Lead Generation (Connection Hints),A/R,C,,,,C,,,Live,SE/ME,"Observation plane signals hinting at asset-to-fabric connections (Network traffic, IdP OAuth, CMDB deps)",
Fabric Detection,Fabric Plane Identification,A/R,C,,,,,,,Live,SE/ME,Detects the Backbone,
Fabric Mgmt,Fabric Plane Connection (The Backbone),,A/R,,,,I,,,Live,SE/ME,"Connects to Planes, not Apps",
Fabric Mgmt,Routing Policy Enforcement,,A/R,,,,I,,,Live,SE/ME,Enforces 'Block Direct Access',
Findings & Issues,CMDB gap detection,A/R,,,,,C,,,Live,SE/ME,,
Findings & Issues,Data conflict detection,A/R,,,,,C,,,Live,SE/ME,,
Findings & Issues,Finance gap detection,A/R,,,,,C,,,Live,SE/ME,,
Findings & Issues,Identity gap detection,A/R,,,,,C,,,Live,SE/ME,,
Governance,Auth Policy Enforcement,,A/R,,,,I,,,Live,SE/ME,Plane-level auth validation,
Governance,PII Redaction (Edge),,A/R,,,,I,,,Live,SE/ME,Redacts before data enters DCL,
Governance,Rate Limit Enforcement,,A/R,,,,I,,,Live,SE/ME,Plane-level rate limiting,
Identity & Trust,Agent identity issuance,I,C,I,,,I,,,Cancelled,SE/ME,Separate from service identity,v8→v8.1: AOA cancelled.
Identity & Trust,Trust tier enforcement,I,C,I,,,I,,,Cancelled,SE/ME,Native vs customer vs third-party,v8→v8.1: AOA cancelled.
Ingest Pipeline,Drift Detection,,,A/R,,I,C,,,Deprecated,SE/ME,Part of old DCL pipe ingest pipeline (Structure/Dispatch/Content). Triple store integrity is now handled via AAM Layer 1 data drift and DCL per-triple validation gates.,
Ingest Pipeline,Record Buffering,,,A/R,,I,I,,,Deprecated,SE/ME,Part of old DCL pipe ingest pipeline. Triples are written in atomic batches via execute_values — no record buffering needed.,
Ingest Pipeline,Self-Healing Repair,,,A/R,,I,C,,,Deprecated,SE/ME,Part of old DCL pipe ingest pipeline. Triple write failures are handled by the triple write ledger (AAM) and atomic batch rollback (PG).,
Ingest Pipeline,Stream Consumption (Sidecar),,,A/R,,I,C,,,Aspirational,SE/ME,Aspirational — no code implementation,
Ingest Pipeline,Verification with Farm,,,C,,I,A/R,,,Live,SE/ME,,
Ingestion,Fabric Pointer Buffering (Zero-Trust),,,A/R,,I,I,,,Deprecated,SE/ME,Part of old DCL pipe ingest path (Structure/Dispatch/Content). Farm/AOD/AAM bypass entirely via execute_values to PG.,
Ingestion,Ingest Rejection Feedback,,I,A/R,,I,R,,,Deprecated,SE/ME,Old pipe-ingest rejection path (Structure/Dispatch/Content) is deprecated. SE: Farm pushes financial triples to DCL HTTP ingest via orchestrator (active path). ME: Farm pushes to Convergence backend (DCL not involved).,"v8.2→v8.3: Corrected — SE Farm does push through DCL HTTP ingest. Old pipe rejection path is what's deprecated, not the DCL ingest endpoint itself."
Ingestion,Just-in-Time Payload Fetching,,C,A/R,,I,,,,Deprecated,SE/ME,Part of old pipe ingest model. Triples carry values directly — no deferred fetch.,
Ingestion,Schema Drift Detection,,C,A/R,,I,C,,,Deprecated,SE/ME,Old pipe-ingest schema drift detection. Field-level drift on incoming records via pipe schemas. Replaced by AAM Layer 1 data drift (concept+property delta on triple store). See Drift Detection category for AAM-owned drift.,
Ingestion,Schema-on-Write Validation (Ingest Guard),,,A/R,,I,I,,,Deprecated,SE/ME,"Old pipe-schema validation (HTTP 422 NO_MATCHING_PIPE). Replaced by per-triple validation gates on entity_id, concept, confidence_score, etc. See Triple Store → Triple ingest endpoint.",
Inter-Service Contracts,AAM → DCL Pipe Export Contract,,A/R,R,,,,,,Deprecated,SE/ME,Old pipe export contract. AAM now writes mapping.* triples directly to PG. Contract not exercised. Removal is cleanup debt.,
Inter-Service Contracts,AAM → Farm Dispatch Contract,,A/R,,,,R,,,Dormant,SE/ME,"Manifest format, auth_token_ref requirement, timeout policy. Dormant in SYNTHETIC mode — dispatch not exercised. Code retained. Superseded by transport shims in PRODUCTION_SE.",
Inter-Service Contracts,AOD → AAM Handoff Protocol,A/R,R,,,,,,,Live,SE/ME,Underspecified — handoff.py is large module; contract doc needed,
Inter-Service Contracts,DCL → NLQ Query Contract,,,A/R,,R,,,,Live,SE/ME,"Semantic catalog export, query endpoint, confidence propagation",
Inter-Service Contracts,Farm → DCL Ingest Contract (SE),,,A/R,,,R,,,Live,SE,"SE: Orchestrator calls Farm manifest-intake, then pushes financial triples to DCL via POST /api/dcl/ingest-triples. Proven E2E (23K+ triples accepted). ME: Farm pushes to Convergence backend — this contract does not apply to ME.","v8.2→v8.3: Corrected from Deprecated to Live. SE Farm-to-DCL HTTP ingest is the active, proven write path. Scoped to SE only."
Lifecycle,Agent onboarding & versioning,I,I,I,,,I,,,Cancelled,SE/ME,Promotion & rollback,v8→v8.1: AOA cancelled.
Lifecycle,Zombie agent detection,C,C,C,,,I,,,Cancelled,SE/ME,Sprawl control,v8→v8.1: AOA cancelled.
Maestra,Constitution loading (Layers 0-4 + Orchestrator),,,,,,,A/R,C,Live,SE/ME,"Static Markdown files loaded every invocation. Governs voice, boundaries, reasoning rules",v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra,Context assembly (prompt construction),,,C,,,,A/R,C,Live,SE/ME,Assembles: base constitution + module doc + retrieved triples + engagement state + user message,v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra,Domain keyword extraction,,,,,,,A/R,C,Live,SE/ME,Maps user-language terms to concept domain prefixes via domain_keywords.yaml. 19 domains,v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra,Entity detection (runtime DB query),,,C,,,,A/R,C,Live,SE/ME,Queries DB for entity_ids at runtime. No hardcoded entity names,v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra,Module knowledge doc loading (conditional),,,,,,,A/R,C,Live,SE/ME,"One module doc per request based on module_context. 6 docs: aod, aam, farm, dcl, nlq, convergence",v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra,RACI boundary enforcement (module-scoped actions),,,,,,,A/R,C,Live,SE/ME,Actions scoped to current module. Knowledge unrestricted. Injected by assembler per §3.1,v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra,"Scenario variant loading (SE, ME, M&A, Portfolio)",,,,,,,A/R,C,On Docket,SE/ME,Separate constitution variants per scenario type sharing common base. SE only for demo,v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra,Streaming response (SSE via AI Gateway),,,,,,,A/R,C,Live,SE/ME,POST /api/maestra/chat. Reuses existing Claude API integration. Temperature 0.3,v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra,Triple retrieval via SQL (domain + entity filtering),,,R,,,,A/R,C,Live,SE/ME,Direct SQL to DCL triple store. Postgres-native filtering. NLQ bypassed for demo,v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra,Zero-result safeguard,,,,,,,A/R,C,Live,SE/ME,"When SQL returns zero triples for a matched domain, injects explicit no-data signal. Prevents hallucination. §10.1",v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra COFA,COFA mapping write-back to DCL,,,C,A/R,,,R,A/R,On Docket,ME,"Write mapping, conflict register, unified structure as triples. DCL validates via COFACompletionGate",v8.2→v8.3: Platform restored as R (Maestra runs in Platform). Convergence retains A/R per carveout.
Maestra COFA,COFA unification (two-CoA mapping),,,,A/R,,,R,A/R,Live,ME,"Reads two CoAs, builds unified mapping with confidence. Understands economic substance. Stage 5 STRONG PASS",v8.2→v8.3: Platform restored as R (Maestra runs in Platform). Convergence retains A/R per carveout.
Maestra COFA,COFACompletionGate (orphan account validation),,,C,A/R,,,R,C,Live,ME,DCL validates every source account appears in mapping. Rejects orphans. Self-correcting loop,v8.2→v8.3: Platform restored as R (Maestra runs in Platform). Convergence retains A/R per carveout.
Maestra COFA,Conflict detection and typing,,,,A/R,,,R,A/R,Live,ME,"Types: recognition timing, measurement basis, classification, scope. Ranked by dollar impact",v8.2→v8.3: Platform restored as R (Maestra runs in Platform). Convergence retains A/R per carveout.
Maestra COFA,Materiality ranking (dollar impact sorting),,,,A/R,,,R,A/R,Live,ME,Sorts conflicts by estimated annual dollar impact descending. Top 10 typically 90% of total,v8.2→v8.3: Platform restored as R (Maestra runs in Platform). Convergence retains A/R per carveout.
Maestra Engagement,CSAT instrumentation (incentive metric),,,,,,,A/R,C,On Docket,SE/ME,Requires engagement persistence + feedback mechanism,v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra Engagement,Engagement state persistence (per-customer),,,,,,,A/R,C,On Docket,SE/ME,"Structured state in Supabase: steps completed, items flagged, outstanding issues. Survives across sessions",v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra Engagement,Run ledger (per-step audit trail),,,,,,,A/R,C,On Docket,SE/ME,"engagement_id, step_name, model_version, constitution_version, validation result, timestamp. §3.6",v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra Human Review,Batch approve (human-initiated),,,C,A/R,,,A/R,C,On Docket,ME,"CFO selects conflicts below self-determined threshold, applies bulk resolution. Audit trail",v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra Human Review,Four-tier confidence classification,,,,,,,A/R,C,On Docket,SE/ME,Compound confidence broken into components. Below medium: surface with explanation,v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra Human Review,Resolution audit trail,,,C,A/R,,,A/R,C,On Docket,ME,"conflict_id, decision, decided_by, reasoning, timestamp, materiality. Goes into Diligence Package",v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
