Category,Capability,AOD,AAM,DCL,Convergence,NLQ,Farm,Platform,Console,Status,Scope,Notes,v8.2 Delta
Maestra Human Review,Structured recommendation with evidence,,,,,,,A/R,C,On Docket,SE/ME,For high-impact decisions. Maestra prepares; human confirms. §3.7,v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra UI,Chat widget (MaestraChat component),,,,,,,A/R,C,Live,SE/ME,"React component. Streaming, Markdown rendering, preset suggestions. 65/35 split layout",v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra UI,Global chat store (above router),,,,,,,A/R,C,Live,SE/ME,MaestraChatProvider wraps entire app. Chat history persists across module navigation,v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra UI,Module context switching,,,,,,,A/R,C,Live,SE/ME,"Same widget in NLQ, AAM, DCL, AOD, Farm. Module doc and presets swap; history persists",v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra UI,Module-aware preset suggestions (config-driven),,,,,,,A/R,C,Live,SE/ME,Presets stored in presets.ts. Per-module config. Adding presets requires no component changes,v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra UI,Onboarding walkthrough (guided first-time),,,C,,,,A/R,C,Live,SE/ME,dcl-onboarding-agent. Separate demo scene. Can integrate as Maestra workflow mode,v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Observability,Cost tracking,,,,,,I,,,Cancelled,SE/ME,,v8→v8.1: AOA cancelled.
Observability,Deterministic replay,I,I,C,,,C,,,Cancelled,SE/ME,Debug & audit,v8→v8.1: AOA cancelled.
Observability,Execution trace & audit,I,I,C,,,C,,,Cancelled,SE/ME,"Who did what, when",v8→v8.1: AOA cancelled.
Observability,Performance metrics,,,,,,C,,,Cancelled,SE/ME,,v8→v8.1: AOA cancelled.
Observability,Vitals aggregation,,,,,,C,,,Cancelled,SE/ME,,v8→v8.1: AOA cancelled.
Operator UI,AAM Controls Dashboard (composite page),,A/R,,,,,,,On Docket,SE/ME,"Single-page operator view served by AAM. Contains: mode indicator, triple write ledger, triple health, data drift, pipe inventory, connection health placeholder. Per AAM Controls Redesign v3.",
Operator UI,Display Candidates,,A/R,,,,I,,,Live,SE/ME,,
Operator UI,Display Drift Events,,A/R,,,,I,,,Live,SE/ME,,
Operator UI,Display Operating Mode,,A/R,,,,I,,,On Docket,SE/ME,"Shows current AAM operating mode: SYNTHETIC, PRODUCTION_SE, PRODUCTION_ME. Indicates which controls are dormant/superseded and why.",
Operator UI,Display Pipe Inventory,,A/R,,,,I,,,Live,SE/ME,,
Operator UI,Display Triple Health,,A/R,,,,I,,,On Docket,SE/ME,"Shows AAM triple count, concept coverage (mapping.* domains present/missing), freshness (color-coded staleness), run-over-run delta.",
Operator UI,Display Triple Write Ledger,,A/R,,,,I,,,On Docket,SE/ME,"Shows recent triple writes by AAM: run_id, trigger, write_path, concept_prefixes, triple_count, status, duration. Color-coded status. Error detail expandable.",
Pipe Inference,Create DeclaredPipe,,A/R,,,,I,,,Live,SE/ME,,
Pipe Inference,DeclaredPipe Creation,,A/R,I,,,I,,,Live,SE/ME,Writes mapping.pipe.* triples to PG via execute_values. Old DCL Pipe Export (POST /api/export) is deprecated.,
Pipe Inference,Fabric Plane Inference,,A/R,,,,I,,,Live,SE/ME,WHERE pipes live,
Pipe Inference,Infer Change Semantics,,A/R,,,,I,,,Live,SE/ME,,
Pipe Inference,Infer Entity Scope,,A/R,,,,I,,,Live,SE/ME,,
Pipe Inference,Infer Fabric Plane,,A/R,,,,I,,,Live,SE/ME,,
Pipe Inference,Infer Identity Keys,,A/R,,,,I,,,Live,SE/ME,,
Pipe Inference,Infer Modality,,A/R,,,,I,,,Live,SE/ME,,
Pipe Inference,Infer Transport Kind,,A/R,,,,I,,,Live,SE/ME,,
Pipe Inference,Modality Inference,,A/R,,,,I,,,Live,SE/ME,HOW pipes are accessed,
Pipe Inference,Transport Kind Inference,,A/R,,,,I,,,Live,SE/ME,"API, EVENT_STREAM, TABLE, FILE",
Pipe Registry,Compute Schema Hash,,A/R,,,,I,,,Live,SE/ME,,
Pipe Registry,Serve Pipe Queries,,A/R,,,,I,,,Live,SE/ME,,
Pipe Registry,Store Declared Pipes,,A/R,,,,I,,,Live,SE/ME,,
Pipe Registry,Version Pipe Changes,,A/R,,,,I,,,Live,SE/ME,,
Pipeline Execution,Graph Building,,,A/R,,I,I,,,Live,SE/ME,,
Pipeline Execution,Narration Broadcasting,,,A/R,,I,I,,,Live,SE/ME,,
Pipeline Execution,Persona Filtering,,,A/R,,I,I,,,Live,SE/ME,,
Pipeline Execution,Run Metrics Collection,,,A/R,,I,I,,,Live,SE/ME,,
Policy & Governance,Agent-level policy evaluation,I,C,C,,,I,,,Cancelled,SE/ME,"Autonomy, scope, cost",v8→v8.1: AOA cancelled.
Policy & Governance,Autonomy bounds enforcement,I,C,I,,,I,,,Cancelled,SE/ME,Guardrails,v8→v8.1: AOA cancelled.
Policy & Governance,HITL escalation,I,I,C,,,I,,,Cancelled,SE/ME,Confidence-based approval,v8→v8.1: AOA cancelled.
Query Cache,Cache Learning (AI Mode),,,,,A/R,I,,,Live,SE/ME,Stores successful parses,
Query Cache,LLM Call Tracking,,,,,A/R,I,,,Live,SE/ME,Per-session counts with Supabase,
Query Cache,Query Cache Lookup,,,,,A/R,I,,,Live,SE/ME,EXACT/HIGH/MEDIUM thresholds,
Query Cache,Query Learning Log,,,,,A/R,I,,,Live,SE/ME,Logs all queries with success/failure,
Query Cache,Semantic Query Cache (Pinecone),,,,,A/R,I,,,Live,SE/ME,Vector similarity for query matching,
Query Cache,Static/AI Mode Routing,,,,,A/R,I,,,Live,SE/ME,Mode toggle for speed vs learning,
Query Engine,Answer Assembly & Formatting,,,,,A/R,I,,,Live,SE/ME,Structures response for consumers,
Query Engine,Confidence Scoring,,,,,A/R,C,,,Live,SE/ME,"Bounded [0,1] with weighted factors",
Query Engine,Grounding & Citation,,,,,A/R,I,,,Live,SE/ME,Attaches evidence to answers,
Query Engine,"Intent Classification (POINT, COMPARISON, TREND, AGGREGATION, BREAKDOWN)",,,,,A/R,I,,,Live,SE/ME,5 intent types from natural language,
Query Engine,LLM-Based Query Parsing,,,,,A/R,I,,,Live,SE/ME,Claude API extracts structured JSON,
Query Engine,Metric/Dimension Extraction,,,,,A/R,I,,,Live,SE/ME,LLM extracts + synonym normalization,
Query Engine,Pattern-Based Pre-parsing,,,,,A/R,I,,,Live,SE/ME,Regex before LLM for dashboards/viz,
Query Engine,"Query Execution (Aggregation, Filtering)",,,R,,A,I,,,Live,SE/ME,"NLQ orchestrates, DCL provides data",
Query Engine,Query Planning & Decomposition,,,,,A/R,I,,,Live,SE/ME,Breaks complex questions into steps,
Query Engine,"Temporal Resolution (last year, Q3, etc.)",,,,,A/R,I,,,Live,SE/ME,Interprets time references,
Reconciliation,Pipeline execution,C,,,,,A/R,,,Live,SE/ME,,
Response Generation,Ambiguity Detection,,,,,A/R,I,,,Live,SE/ME,"Pattern-based, returns prompts",
Response Generation,Graceful Fallbacks,,,,,A/R,I,,,Live,SE/ME,Never show raw errors,
Response Generation,Off-Topic Handling,,,,,A/R,I,,,Live,SE/ME,"Easter eggs, polite redirects",
Response Generation,Synonym Normalization,,,,,A/R,I,,,Live,SE/ME,100+ synonyms → canonical names,
Response Generation,Text Response Formatting,,,,,A/R,I,,,Live,SE/ME,"Value, unit, period, confidence",
Runner Dispatch,Content Push to DCL,,I,R,,I,A/R,,,Deprecated,SE/ME,"Old pipe-based content push (Structure/Dispatch/Content) is deprecated. SE active path: orchestrator calls Farm, pushes financial triples to DCL HTTP ingest. ME active path: Farm pushes to Convergence backend. DCL not involved in ME.",v8.2→v8.3: Clarified — SE Farm-to-DCL HTTP ingest is live. Only the old pipe-based push is deprecated.
Runner Dispatch,Manifest Dispatch to Farm,,A/R,,,I,R,,,Dormant,SE/ME,"Dormant in SYNTHETIC mode per AAM controls redesign. Code retained. Superseded by transport shims + flow controller in PRODUCTION_SE (Connectivity Architecture Blueprint WP-2, WP-8).",
Runner Dispatch,Runner Execution (Data Extraction),,I,,,I,A/R,,,Dormant,SE/ME,"In SE SYNTHETIC mode, Farm generates from YAML configs — no manifest-driven extraction. Code retained for PRODUCTION_SE where transport shims handle extraction (Blueprint WP-2).",
Runtime,Task Queue Management,,,,,,I,,A/R,Live,SE/ME,Moved from FARM (Ops) | AOA owns orchestration logic; Farm owns infra — see Scaling Infrastructure for Farm boundary,v8→v8.1: AOA→Console (orchestration). AOA cancelled.
Runtime,Worker pool management,I,I,I,,,I,,,Live,SE/ME,Scalable execution | AOA owns worker dispatch logic; Farm owns worker pool infra — see Scaling Infrastructure,v8→v8.1: AOA cancelled. Farm retains infra.
Scaling Infrastructure,Auto-recovery,,,,,,A/R,,,Live,SE/ME,,
Scaling Infrastructure,Load balancing,,,,,,A/R,,,Live,SE/ME,,
Scaling Infrastructure,Task queue management,,,,,,A/R,,,Live,SE/ME,Farm owns infra; AOA owns orchestration logic — see Runtime for AOA-managed scheduling,
Scaling Infrastructure,Worker pool orchestration,,,,,,A/R,,,Live,SE/ME,Farm owns worker pool infra; AOA owns dispatch logic — see Runtime,
Scheduling,Cron-based scheduling,,,,,,I,,A/R,On Docket,SE/ME,,v8→v8.1: AOA→Console. AOA cancelled.
Scheduling,Event-driven triggers,,,,,,R,,A/R,On Docket,SE/ME,,v8→v8.1: AOA→Console. AOA cancelled.
Scheduling,Webhook triggers,,,,,,R,,A,On Docket,SE/ME,,v8→v8.1: AOA→Console. AOA cancelled.
Schema Ingestion,Demo Schema Loading,,,A/R,,I,I,,,Deprecated,SE/ME,fact_base.json and CSV demo schemas removed. Data enters via Farm → triple conversion → PG,
Schema Ingestion,Farm Schema Fetching,,,A/R,,I,C,,,Live,SE/ME,From FARM_API_URL,
Schema Ingestion,Stream Source Loading,,,A/R,,I,C,,,Live,SE/ME,Real-time sources from DB,
Security,Context Sanitization,,,,,,C,,,Cancelled,SE/ME,Security layer before Agent Logic,v8→v8.1: AOA cancelled.
Self-Healing,Connection/Fabric Drift Detection,,A/R,,,,I,,,Stub,SE/ME,Detects lost connectivity to Plane,
Self-Healing,Consumer Lag Detection,,A/R,,,,I,,,Stub,SE/ME,Event Bus specific drift,
Self-Healing,Execute Self-Heal (Restart Consumers),,A/R,,,,I,,,Stub,SE/ME,Restarts Consumers/Reconnects,
Self-Healing,Heal History Logging,,A/R,,,,I,,,Stub,SE/ME,Audit trail of repairs,
Self-Healing,Warehouse Suspend Detection,,A/R,,,,I,,,Stub,SE/ME,Warehouse specific drift,
Semantic Catalog,Alias Resolution,,,A/R,,C,I,,,Live,SE/ME,"'AR' → 'ar', 'attainment' → 'quota_attainment'",
Semantic Catalog,Dimension Definitions,,,A/R,,C,I,,,Live,SE/ME,"107 concepts across 9 enterprise domains (Business, Pipeline, Ops, Tech, HR, Finance, Sales, Product, Support)",
Semantic Catalog,Metric Definitions,,,A/R,,C,I,,,Live,SE/ME,325 valid concept-dimension pairings across CFO/CRO/COO/CTO/CHRO persona packs,
Semantic Catalog,Metric-Dimension Validation,,,A/R,,C,I,,,Live,SE/ME,Validates which dimensions apply to which concepts — 325 valid pairings enforced,
Semantic Catalog,Semantic Export API,,,A/R,,C,I,,,Live,SE/ME,Full catalog for NLQ consumption,
Semantic Intelligence,Concept Registry Management,,,A/R,,I,I,,,Live,SE/ME,107 concept nodes across 9 enterprise domains,
Semantic Intelligence,Concept-Dimension Pairing Validation,,,A/R,,I,,,,Live,SE/ME,325 valid pairings — enforced at graph build and query time,
Semantic Intelligence,Confidence Scoring,,,A/R,,C,,,,Live,SE/ME,0.0-1.0 confidence on concept-dimension mappings; propagated to NLQ answers,
Semantic Intelligence,Inference Layer (Graph-based Discovery),,,A/R,,C,I,,,Live,SE/ME,Approach 5 Layer 2 — graph traversal discovers implicit relationships between concepts,
Semantic Intelligence,Ontology Versioning,,,A/R,,I,,,,On Docket,SE/ME,Track ontology changes over time; not yet implemented,
Semantic Intelligence,Runtime Resolution (LLM Pathfinding),,,A/R,,C,I,,,Live,SE/ME,Approach 5 Layer 3 — LLM resolves ambiguous queries through semantic graph at query time,
Semantic Intelligence,Semantic Graph Build & Rebuild,,,A/R,,I,I,,,Live,SE/ME,POST /api/dcl/run — auto-trigger on ingest is On Docket (currently manual),
Semantic Intelligence,Skeleton Layer (Curated Ontology),,,A/R,,C,I,,,Live,SE/ME,"Approach 5 Layer 1 — hand-curated concept-dimension pairings, authoritative",
Semantic Mapping,Batch Mapping API,,,A/R,,I,I,,,Live,SE/ME,Bulk semantic mapping endpoint,
Semantic Mapping,Heuristic Mapping (Dev Mode),,,A/R,,I,I,,,Live,SE/ME,Pattern matching ~1s,
Semantic Mapping,LLM Refinement (Prod Mode),,,A/R,,I,I,,,Live,SE/ME,OpenAI + Pinecone RAG ~5s,
Semantic Mapping,Mapping Persistence,,,A/R,,I,I,,,Live,SE/ME,PostgreSQL storage,
Session Management,Row-Level Security,,,,,A/R,I,,,Live,SE/ME,Supabase RLS policies,
Session Management,Session State (In-Memory),,,,,A/R,I,,,Live,SE/ME,"Dashboard state, 2hr TTL",
Session Management,Session Stats Persistence,,,,,A/R,I,,,Live,SE/ME,Supabase storage,
Session Management,Tenant Isolation,,,,,A/R,I,,,Live,SE/ME,tenant_id on all DB queries,
SOR Identification,Data domain classification,A/R,,,,,C,,,Live,SE/ME,,
SOR Identification,System of Record scoring,A/R,,,,,C,,,Live,SE/ME,,
Source Normalization,Alias Resolution,,,A/R,,I,C,,,Live,SE/ME,,
Source Normalization,Discovery Mode (New Sources),,,A/R,,I,C,,,Live,SE/ME,,
Source Normalization,Pattern Matching,,,A/R,,I,I,,,Live,SE/ME,,
Source Normalization,Registry Loading,,,A/R,,I,C,,,Live,SE/ME,,
Tee Request Management,Approve/Reject Tee,,A/R,,,,I,,,Live,SE/ME,,
Tee Request Management,Create Tee Request,,A/R,,,,I,,,Live,SE/ME,,
Tee Request Management,Track Tee Status,,A/R,,,,I,,,Live,SE/ME,,
Telemetry,Metrics Collection,,,A/R,,,I,,,Live,SE/ME,,
Telemetry,Telemetry Broadcasting,,,A/R,,,I,,,Live,SE/ME,,
Telemetry,TPS/Quality Calculation,,,A/R,,,C,,,Live,SE/ME,,
Triage & Prioritization,Asset prioritization scoring,A/R,,,,,,,,Live,SE/ME,,
Triage & Prioritization,Provisioning status assignment,A/R,,,,,,,,Live,SE/ME,,
Triple Store,Domain-based organization (concept prefix),,,A/R,R,,,demo,C,Live,SE/ME,19 verified domains. First segment of concept name. Used for retrieval filtering,v8.1→v8.2: Convergence reads DCL-owned tables (SELECT only).
Triple Store,Provenance tracking (per-triple),,,A/R,R,,C,,,Live,SE/ME,"source_system, source_field, confidence_score, confidence_tier, pipe_id, run_id, created_at",v8.1→v8.2: Convergence reads DCL-owned tables (SELECT only).
Triple Store,"Semantic triple storage (entity, concept, property, value, period)",,,A/R,R,C,C,demo,C,Live,SE/ME,"All data as triples in Postgres. Dot-separated concept hierarchy. 9,350+ base + 124K BlueWave HR + 1,176 COFA",v8.1→v8.2: Convergence reads DCL-owned tables (SELECT only).
Triple Store,Triple conversion (AAM output → PG),,A/R,C,,,,,,Live,SE/ME,"AAM converts pipe inference output (DeclaredPipes, connections, drift events, fabric planes) to mapping.* triples. Writes to PG via execute_values. Per SE Triples Conversion Build Plan.",
Triple Store,Triple conversion (AOD output → PG),A/R,,C,,,,,,Live,SE/ME,"AOD converts discovery scan output (assets, governance, SOR scores, findings, fabric planes) to discovery.* triples. Writes to PG via execute_values. Per SE Triples Conversion Build Plan.",
Triple Store,Triple conversion (Farm output),,,C,C,,A/R,,,Live,SE/ME,SE: Farm generates financial triples → orchestrator pushes to DCL HTTP ingest → semantic_triples. ME: Farm generates financial triples → pushes to Convergence backend → convergence_triples. DCL never receives ME Farm output.,"v8.2→v8.3: Added SE/ME routing distinction. Removed '→ PG direct' — SE goes through DCL HTTP, ME goes through Convergence. Renamed from 'Farm output → PG'."
Triple Store,Triple ingest endpoint (POST /api/dcl/ingest-triples),,,A/R,R,,C,,,Live,SE/ME,Validates and writes triples to PG. Used for COFA write-back path,v8.1→v8.2: Convergence reads DCL-owned tables (SELECT only).
Triple Store,V2 engine stack (8 engines on triple store),,,A/R,R,C,,,,Live,SE/ME,8 v2 engines reading from semantic triple store. Old JSON engines present via compat layer,v8.1→v8.2: Convergence reads DCL-owned tables (SELECT only).
Trust & Security,Injection defense,,,,,,I,,,Cancelled,SE/ME,,v8→v8.1: AOA cancelled.
Trust & Security,PII detection & redaction,,,,,,I,,,Cancelled,SE/ME,,v8→v8.1: AOA cancelled.
Trust & Security,Policy enforcement,,,,,,C,,,Cancelled,SE/ME,,v8→v8.1: AOA cancelled.
Verification,Accuracy Measurement,C,C,,,,A/R,,,Live,SE/ME,Consolidated from Truth/Reconciliation per G2,
Verification,End-to-End Injection Tests,,I,I,I,,A/R,,,Live,SE/ME,"SE: Farm pushes to DCL via orchestrator, verifies at DCL. ME: Farm pushes to Convergence, verifies at Convergence.",v8.2→v8.3: Added SE/ME routing distinction. Added Convergence C for ME verification.
Verification,Generate Test Data,,I,,,,A/R,,,Live,SE/ME,,
Verification,Ground Truth Validation,C,C,C,,,A/R,,,Live,SE/ME,FARM is Test Oracle,
Verification,Provide Source of Truth,,C,,,,A/R,,,Live,SE/ME,,
Verification,Verify Against Truth,,C,,,,A/R,,,Live,SE/ME,,
Visualization,4-Layer Sankey Graph,,,A/R,,,I,,,Live,SE/ME,Pipeline→Sources→Ontology→Personas,
Visualization,Chart Generation,,,,,A/R,I,,,Live,SE/ME,"Line, bar, area, pie, stacked, waterfall",
Visualization,Dashboard Generation,,,,,A/R,I,,,Live,SE/ME,Dynamic widget schemas from intent,
Visualization,Dashboard Refinement Actions,,,,,A/R,I,,,Live,SE/ME,"'Add a chart', 'Show by region'",
Visualization,Galaxy Visualization,,,,,A/R,I,,,Live,SE/ME,Node-based with related metrics,
Visualization,Monitor Dashboard,,,A/R,,,I,,,Live,SE/ME,Collapsible right panel,
Visualization,Persona-Based Filtering,,,A/R,,,I,,,Live,SE/ME,CFO/CRO/COO/CTO buttons,
Visualization,Telemetry Ribbon,,,A/R,,,I,,,Live,SE/ME,,
Visualization,Terminal Narration,,,A/R,,,I,,,Live,SE/ME,Real-time processing log,
Visualization,Topology API Exposure,,I,A/R,,,,,,Live,SE/ME,Backend for Graph UI,
Workflow Orchestration,Run cancellation,,,,,,R,,,Live,SE/ME,,
Workflow Orchestration,Run creation & tracking,,,,,,R,,A/R,Live,SE/ME,,v8→v8.1: AOA→Console (orchestration). AOA cancelled.
Workflow Orchestration,Step sequencing,,,,,,C,,A/R,Live,SE/ME,,v8→v8.1: AOA→Console (orchestration). AOA cancelled.
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Console,Cron scheduler (background detection cycles),,,,,,,,A/R,Live,SE/ME/MA,asyncio background tasks. Per-module schedules. Configurable via console_config.,v8.1 NEW. Console-owned scheduling.
Console,Change detection orchestration,,,,,,,,A/R,Live,SE/ME,"Calls AOD/AAM/DCL APIs, diffs against snapshots, writes change_events.",v8.1 NEW.
Console,Change feed API (GET /api/changes),,,,,,,,A/R,Live,SE/ME,Unified time-ordered change events. Severity and module filtering. Acknowledge.,v8.1 NEW.
Console,Health aggregation (GET /api/health),,,,,,,,A/R,Live,SE/ME/MA,Parallel health checks against all 5 modules. 10s timeout. Composite status.,v8.1 NEW.
Console,Pipeline orchestration (POST /api/pipeline/run),,,,,,,,A/R,Live,SE/ME/MA,SE: Sequential HTTP calls: Farm Snapshot→AOD→Handoff→AAM→Farm Financials→DCL Ingest. ME: Farm (per entity)→Convergence (per entity)→COFA→Verify. Step timing. Run history.,"v8.1→v8.3: Added SE/ME pipeline distinction. ME routes to Convergence, not DCL."
Console,Module proxy routes (GET /api/proxy/{module}/*),,,,,,,,A/R,Live,SE/ME/MA,Forwards to module APIs. Solves CORS.,v8.1 NEW.
Console,Upload/parser (M&A intake),,,,,,,,A/R,On Docket,MA,"GL+CoA upload, parse, validate, convert to triples. Stub parser; real parser separate.",v8.1 NEW.
Console,Task queue (HITL execution),,,,,,,,A/R,On Docket,SE/ME/MA,"M proposes, operator approves, CC executes. Lifecycle: pending→approved→executing→done/failed.",v8.1 NEW.
Console,Engagement state management,,,,,,,,A/R,Live,SE/ME/MA,"Per-deal persistent state. Directional: acquirer + target. Lifecycle, deliverables.",v8.1 NEW.
Console,Deal cockpit (M&A command center),,,,,,,,A/R,Live,MA,"Lifecycle, conflict register, deliverables (10 items), combining preview, hard gates.",v8.1 NEW.
Console,Constitution editor,,,,,,,,A/R,On Docket,SE/ME/MA,Editable layers L0-L4 + Orchestrator. Tool registry. Module docs. Version history.,v8.1 NEW.
Console,Instrumentation (M run ledger + cost),,,,,,,,A/R,Live,SE/ME/MA,"Run durations, token counts, cost per run and per engagement.",v8.1 NEW.
Console,E2e demo orchestration,,,,,,,,A/R,Live,SE/ME/MA,SE and ME demos from Console Pipeline screen. Replaces Platform.,v8.1 NEW. Replaces Platform.
Console,Narrative editor (demo script),,,,,,,,A/R,On Docket,SE/ME/MA,YAML editor for tour steps/messages/timing. Reconstructed from Platform.,v8.1 NEW. Replaces Platform.
Console,Entity switcher (top bar),,,,,,,,A/R,Live,ME/MA,Entity or combined view. Hidden for SE. Passes context to iframed apps.,v8.1 NEW.
Console,Mode switching (SE/ME/MA + persona),,,,,,,,A/R,On Docket,SE/ME/MA,Future: product mode + persona determine nav. Not implemented in dev.,v8.1 NEW.
Console,Inspect surface (native DCL views),,,C,,,,,A/R,Live,SE/ME/MA,"Coverage, sources, COFA merge native. Lineage iframes DCL.",v8.1 NEW.
Console,Dashboards/Reports (iframe NLQ),,,,,C,,,A/R,Live,SE/ME/MA,Iframe NLQ for dashboards and reports. Entity context via query param.,v8.1 NEW.
Convergence Service,"Convergence backend (FastAPI, port 8010)",,,,A/R,,,,,Live,ME/MA,"Standalone service carved from DCL. Owns all ME engines, engagement lifecycle, resolution workspaces.",v8.2 NEW. Convergence carveout.
Convergence Service,"Convergence frontend (React, port 3010)",,,,A/R,,,,,Live,ME/MA,MergePanel and ME-specific UI. Standalone from DCL frontend.,v8.2 NEW. Convergence carveout.
Convergence Service,Engagement API (GET /api/convergence/engagement/active),,,,A/R,,,,,Live,ME/MA,HTTP endpoint called by DCL maestra.py for engagement context. Replaces direct import.,v8.2 NEW. Convergence carveout.
Convergence Service,Schema contract (SCHEMA_CONTRACT.md),,,A/R,R,,,,,Live,SE/ME,DCL owns semantic_triples schema. Convergence reads. Breaking changes require coordination.,v8.2 NEW. Convergence carveout.
Convergence Service,Direct PG reads (SELECT only on DCL tables),,,,A/R,,,,,Live,ME/MA,"Convergence reads semantic_triples, dimension_values_v2, tenant_runs directly. No HTTP intermediary for report queries.",v8.2 NEW. Convergence carveout.
Convergence Service,Triple writes to convergence_triples,,,,A/R,,,,,Live,ME/MA,"Convergence writes ME triples (Farm ME financial triples, COFA mappings, conflict register, combining output) to convergence_triples in the Convergence schema. Never to DCL's semantic_triples. Convergence reads DCL-owned tables (SELECT only) for cross-reference.","v8.2→v8.3: Corrected — ME triples write to convergence_triples, not through DCL HTTP. DCL is SE-only per carveout ruling. Renamed from 'Triple writes via DCL HTTP only'."
Pipeline Identity,Namespaced stage identifiers (run_id banned),,,,R,,,,A/R,Live,SE/ME,"run_id banned from all response payloads. Each stage uses namespaced ID (farm_manifest_id, aod_discovery_id, etc). Per pipeline_identity_architecture_v1.",v8.2 NEW. Identity architecture.
Pipeline Identity,Identity pair on every stage response (tenant_id + entity_id),,,,R,,,,A/R,Live,SE/ME,"Every stage response carries tenant_id (UUID, never displayed) + entity_id (business key, always displayed). 422 on missing.",v8.2 NEW. Identity architecture.
Pipeline Identity,Operator-facing run_name,,,,,,,,A/R,Live,SE/ME,SE: {entity_id}-{short_hash}. ME: {engagement_short_name}-{short_hash}. Visible on all operator surfaces.,v8.2 NEW. Identity architecture.
Pipeline Identity,Dropdown-only operator input (no typed IDs),,,,,,,,A/R,Live,SE/ME,Operators never type or paste an ID. All selection via dropdown populated from what exists.,v8.2 NEW. Identity architecture.
Pipeline Identity,"Expansion fields (source_rows, triples_written, expansion_factor)",,,C,C,,C,,A/R,Live,SE/ME,Every ingest response includes row expansion metrics. Transparency requirement.,v8.2 NEW. Identity architecture.
Maestra Supervised Execution,Four-tier classification (Auto/Validate/Plan/Escalate),,,,,,,A/R,C,Live,SE/ME,maestra_plans table (19 columns). Classification engine in Platform. 146+ tests zero regressions.,v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Maestra Supervised Execution,"Operator feed (card-based, tier badges)",,,,,,,,A/R,Live,SE/ME,Console operator feed with 30-second polling. Card-based UI with tier badges.,v8.2 NEW. Maestra Phase 1.
Maestra Supervised Execution,tenant_preferences table (12-key registry),,,,,,,A/R,C,On Docket,SE/ME,CHECK constraint enforcing 12-key registry. Phase 2 in progress.,v8.2→v8.3: Platform restored as A/R. March 25 sunset ruling reversed March 28 per Maestra component inventory.
Triple Store,Atomic run_id swap (tenant_runs pointer table),,,A/R,R,,,,,Live,SE/ME,O(1) UPSERT replaces O(n) bulk UPDATE. Post-swap purge step deletes stale rows.,v8.2 NEW. DCL identity hardening.
